;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-153.34500000000004 -1.5 0.0,-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,-264.445 -4.5 0.0,-296.0 -4.5 0.0,1.5 -231.115 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,4.5 280.4911895108135 1.5707963267948966,4.5 243.56586284559848 1.5707963267948966,4.5 159.13396755406888 1.5707963267948966,4.5 102.88216361629226 1.5707963267948966,4.5 19.818496813717773 1.5707963267948966,-46.88388888888899 4.5 3.141592653589793,-4.5 -285.44866579960395 -1.5707963267948966,-4.5 -214.2943650997479 -1.5707963267948966,131.125 1.5 3.141592653589793,23.357299199999944 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,153.34500000000004 4.5 3.141592653589793,197.78500000000003 4.5 3.141592653589793,9.396333333333303 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-142.235 -1.5 0.0,-31.134999999999878 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,-253.335 -4.5 0.0,-291.0 -4.5 0.0,1.5 -220.005 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,4.5 291.6011895108135 1.5707963267948966,4.5 254.6758628455985 1.5707963267948966,4.5 170.2439675540689 1.5707963267948966,4.5 113.99216361629225 1.5707963267948966,4.5 30.040163480384437 1.5707963267948966,-57.99388888888899 4.5 3.141592653589793,-4.5 -296.55866579960397 -1.5707963267948966,-4.5 -225.4043650997479 -1.5707963267948966,120.01499999999999 1.5 3.141592653589793,20.150577279999938 4.5 3.141592653589793,53.354999999999908 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,142.235 4.5 3.141592653589793,186.675 4.5 3.141592653589793,6.396333333333303 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-131.125 -1.5 0.0,-20.024999999999865 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,-284.0 -4.5 0.0,1.5 -208.89499999999999 1.5707963267948966,4.5 -86.68499999999995 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,4.5 265.7858628455985 1.5707963267948966,4.5 181.3539675540689 1.5707963267948966,4.5 125.10216361629225 1.5707963267948966,4.5 41.150163480384438 1.5707963267948966,-69.10388888888899 4.5 3.141592653589793,-4.5 -236.51436509974793 -1.5707963267948966,108.90499999999997 1.5 3.141592653589793,16.120389283555484 4.5 3.141592653589793,43.27161105066659 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,131.125 4.5 3.141592653589793,175.565 4.5 3.141592653589793,1.3963333333333026 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-120.01499999999999 -1.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-231.115 -4.5 0.0,-275.0 -4.5 0.0,-299.0 -4.5 0.0,1.5 -197.78500000000003 1.5707963267948966,4.5 -75.57499999999993 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,4.5 276.8958628455985 1.5707963267948966,4.5 192.46396755406892 1.5707963267948966,4.5 136.21216361629224 1.5707963267948966,4.5 52.260163480384438 1.5707963267948966,-80.21388888888899 4.5 3.141592653589793,-4.5 -247.62436509974797 -1.5707963267948966,97.79499999999996 1.5 3.141592653589793,11.230766903466588 4.5 3.141592653589793,34.815724935111067 4.5 3.141592653589793,75.57499999999993 4.5 3.141592653589793,120.01499999999999 4.5 3.141592653589793,164.455 4.5 3.141592653589793,-8.91499999999985 -4.5 0.0,-5.603666666666697 4.5 -3.1415926535897928,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-108.90499999999997 -1.5 0.0,-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,-264.445 -4.5 0.0,-296.0 -4.5 0.0,1.5 -186.675 1.5707963267948966,4.5 -64.46499999999992 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,4.5 288.00586284559855 1.5707963267948966,4.5 203.57396755406894 1.5707963267948966,4.5 147.32216361629225 1.5707963267948966,4.5 63.370163480384437 1.5707963267948966,-91.323888888889 4.5 3.141592653589793,-14.603666666666698 4.5 3.141592653589793,-4.5 -258.73436509974797 -1.5707963267948966,86.68499999999995 1.5 3.141592653589793,27.117069993528845 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,153.34500000000004 4.5 3.141592653589793,2.19500000000015 -4.5 0.0,5.096993475413285 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-97.79499999999996 -1.5 0.0,-31.134999999999878 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,-253.335 -4.5 0.0,-291.0 -4.5 0.0,1.5 -175.565 1.5707963267948966,4.5 -53.354999999999908 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,13.305000000000149 -4.5 0.0,4.5 299.11586284559857 1.5707963267948966,4.5 214.68396755406895 1.5707963267948966,4.5 158.43216361629227 1.5707963267948966,4.5 74.48016348038444 1.5707963267948966,-102.43388888888899 4.5 3.141592653589793,-25.158666666666698 4.5 3.141592653589793,-4.5 -269.84436509974798 -1.5707963267948966,75.57499999999993 1.5 3.141592653589793,19.395261003377756 4.5 3.141592653589793,53.354999999999908 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,142.235 4.5 3.141592653589793,-2.5832705814187064 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-86.68499999999995 -1.5 0.0,-20.024999999999865 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,-284.0 -4.5 0.0,1.5 -164.455 1.5707963267948966,4.5 -42.24499999999989 1.5707963267948966,4.5 -86.68499999999995 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,24.41500000000015 -4.5 0.0,4.5 225.79396755406897 1.5707963267948966,4.5 169.54216361629228 1.5707963267948966,4.5 85.59016348038444 1.5707963267948966,-113.54388888888899 4.5 3.141592653589793,-36.2686666666667 4.5 3.141592653589793,-11.724429015517903 4.5 3.141592653589793,-4.5 -280.954365099748 -1.5707963267948966,64.46499999999992 1.5 3.141592653589793,11.136994106060797 4.5 3.141592653589793,42.24499999999989 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,131.125 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-75.57499999999993 -1.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-231.115 -4.5 0.0,-275.0 -4.5 0.0,-299.0 -4.5 0.0,1.5 -153.34500000000004 1.5707963267948966,4.5 -31.134999999999878 1.5707963267948966,4.5 -75.57499999999993 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,35.52500000000015 -4.5 0.0,4.5 236.90396755406898 1.5707963267948966,4.5 180.65216361629229 1.5707963267948966,4.5 96.70016348038443 1.5707963267948966,-124.65388888888899 4.5 3.141592653589793,-47.378666666666699 4.5 3.141592653589793,-21.76412407597742 4.5 3.141592653589793,-4.5 -292.064365099748 -1.5707963267948966,53.354999999999908 1.5 3.141592653589793,31.134999999999878 4.5 3.141592653589793,75.57499999999993 4.5 3.141592653589793,120.01499999999999 4.5 3.141592653589793,-8.91499999999985 -4.5 0.0,2.164193170609508 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-64.46499999999992 -1.5 0.0,-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,-264.445 -4.5 0.0,-296.0 -4.5 0.0,1.5 -142.235 1.5707963267948966,4.5 -21.87666666666655 1.5707963267948966,4.5 -64.46499999999992 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,46.63500000000014 -4.5 0.0,4.5 248.01396755406899 1.5707963267948966,4.5 191.7621636162923 1.5707963267948966,4.5 107.81016348038443 1.5707963267948966,-135.76388888888898 4.5 3.141592653589793,-58.488666666666698 4.5 3.141592653589793,-32.23194111225313 4.5 3.141592653589793,42.24499999999989 1.5 3.141592653589793,20.208727482366557 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,2.19500000000015 -4.5 0.0,-7.415072740117157 4.499999999999999 3.1415926535897928,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-53.354999999999908 -1.5 0.0,-31.134999999999878 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,-253.335 -4.5 0.0,-291.0 -4.5 0.0,1.5 -131.125 1.5707963267948966,4.5 -15.704444444444335 1.5707963267948966,4.5 -53.354999999999908 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,57.74500000000015 -4.5 0.0,13.305000000000149 -4.5 0.0,4.5 259.123967554069 1.5707963267948966,4.5 202.8721636162923 1.5707963267948966,4.5 118.92016348038443 1.5707963267948966,-146.87388888888899 4.5 3.141592653589793,-69.5986666666667 4.5 3.141592653589793,-42.95663133401856 4.5 3.141592653589793,-17.43538349622669 4.5 3.141592653589793,31.134999999999878 1.5 3.141592653589793,53.354999999999908 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,9.512755532609049 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-42.24499999999989 -1.5 0.0,-20.024999999999865 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,-284.0 -4.5 0.0,1.5 -120.01499999999999 1.5707963267948966,4.5 -12.001111111111016 1.5707963267948966,4.5 -42.24499999999989 1.5707963267948966,4.5 -86.68499999999995 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,68.85500000000016 -4.5 0.0,24.41500000000015 -4.5 0.0,4.5 270.233967554069 1.5707963267948966,4.5 213.98216361629233 1.5707963267948966,4.5 130.03016348038444 1.5707963267948966,-157.98388888888898 4.5 3.141592653589793,-80.70866666666669 4.5 3.141592653589793,-53.83544546707782 4.5 3.141592653589793,-27.788820675696525 4.5 3.141592653589793,21.87666666666655 1.5 3.141592653589793,42.24499999999989 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,-1.1354299914175679 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-31.134999999999878 -1.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-231.115 -4.5 0.0,-275.0 -4.5 0.0,1.5 -108.90499999999997 1.5707963267948966,4.5 -10.766666666666595 1.5707963267948966,4.5 -33.12255555555544 1.5707963267948966,4.5 -75.57499999999993 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,79.96500000000015 -4.5 0.0,35.52500000000015 -4.5 0.0,4.5 281.343967554069 1.5707963267948966,4.5 225.09216361629235 1.5707963267948966,4.5 141.14016348038445 1.5707963267948966,-169.093888888889 4.5 3.141592653589793,-91.81866666666669 4.5 3.141592653589793,-64.80673394691337 4.5 3.141592653589793,-38.38323341886089 4.5 3.141592653589793,-11.808524032111759 4.5 3.141592653589793,15.704444444444335 1.5 3.141592653589793,31.134999999999878 4.5 3.141592653589793,75.57499999999993 4.5 3.141592653589793,-8.91499999999985 -4.5 0.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-21.87666666666655 -1.5 0.0,-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,-264.445 -4.5 0.0,1.5 -97.79499999999996 1.5707963267948966,4.5 -10.766666666666595 1.5707963267948966,4.5 -27.510911111111 1.5707963267948966,4.5 -64.46499999999992 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,91.07500000000015 -4.5 0.0,46.63500000000014 -4.5 0.0,4.5 292.45396755406906 1.5707963267948966,4.5 236.20216361629236 1.5707963267948966,4.5 152.25016348038447 1.5707963267948966,-180.20388888888903 4.5 3.141592653589793,-102.92866666666669 4.5 3.141592653589793,-75.8335070348147 4.5 3.141592653589793,-49.146891326048997 4.5 3.141592653589793,-22.541554075938323 4.5 3.141592653589793,12.001111111111016 1.5 3.141592653589793,21.87666666666655 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,2.19500000000015 -4.5 0.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-15.704444444444335 -1.5 0.0,-31.134999999999878 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,-253.335 -4.5 0.0,1.5 -86.68499999999995 1.5707963267948966,4.5 -10.766666666666595 1.5707963267948966,4.5 -23.935542222222126 1.5707963267948966,4.5 -53.51466222222214 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,102.18500000000015 -4.5 0.0,57.74500000000015 -4.5 0.0,13.305000000000149 -4.5 0.0,4.5 247.31216361629238 1.5707963267948966,4.5 163.36016348038448 1.5707963267948966,-191.313888888889 4.5 3.141592653589793,-114.0386666666667 4.5 3.141592653589793,-86.8935708875555 4.5 3.141592653589793,-60.026892227135537 4.5 3.141592653589793,-33.33594010006243 4.5 3.141592653589793,10.766666666666595 1.5 3.141592653589793,15.704444444444335 4.5 3.141592653589793,53.354999999999908 4.5 3.141592653589793,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-12.001111111111016 -1.5 0.0,-21.87666666666655 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,1.5 -75.57499999999993 1.5707963267948966,4.5 -21.383065777777689 1.5707963267948966,4.5 -44.442934222222138 1.5707963267948966,4.5 -86.68499999999995 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,113.29500000000015 -4.5 0.0,68.85500000000016 -4.5 0.0,24.41500000000015 -4.5 0.0,4.5 258.42216361629246 1.5707963267948966,4.5 174.47016348038449 1.5707963267948966,-202.42388888888906 4.5 3.141592653589793,-125.14866666666669 4.5 3.141592653589793,-97.97360919919997 4.5 3.141592653589793,-70.98557646185168 4.5 3.141592653589793,-44.18832113110898 4.5 3.141592653589793,10.766666666666595 1.5 3.141592653589793,12.001111111111016 4.5 3.141592653589793,42.24499999999989 4.5 3.141592653589793,4.5 -9.766666666666595 1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-15.704444444444335 -4.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-231.115 -4.5 0.0,1.5 -64.46499999999992 1.5707963267948966,4.5 -18.84700142222215 1.5707963267948966,4.5 -38.01234186666659 1.5707963267948966,4.5 -75.57499999999993 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,124.40500000000015 -4.5 0.0,79.96500000000015 -4.5 0.0,35.52500000000015 -4.5 0.0,4.5 269.5321636162924 1.5707963267948966,4.5 185.58016348038448 1.5707963267948966,-213.53388888888908 4.5 3.141592653589793,-136.25866666666668 4.5 3.141592653589793,-109.06563218618666 4.5 3.141592653589793,-81.99679721911989 4.5 3.141592653589793,-55.09896011034928 4.5 3.141592653589793,10.766666666666595 4.5 3.141592653589793,33.12255555555544 4.5 3.141592653589793,-8.586409332171249 -1.1330711383320565 0.44684246848576406,4.5 -6.766666666666595 1.5707963267948966,9.77141788642703 1.453152782377271 -2.9394449231316566,;road_0_1_0 g r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 g r,
-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,1.5 -53.354999999999908 1.5707963267948966,4.5 -15.419129031111027 1.5707963267948966,4.5 -32.617898417777727 1.5707963267948966,4.5 -64.46499999999992 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,135.51500000000017 -4.5 0.0,91.07500000000015 -4.5 0.0,46.63500000000014 -4.5 0.0,4.5 280.6421636162924 1.5707963267948966,4.5 196.6901634803845 1.5707963267948966,-224.64388888888909 4.5 3.141592653589793,-147.36866666666669 4.5 3.141592653589793,-120.16484597837868 4.5 3.141592653589793,-93.04273580334393 4.5 3.141592653589793,-66.06033910531116 4.5 3.141592653589793,10.766666666666595 4.5 3.141592653589793,27.510911111111 4.5 3.141592653589793,-9.766666666666538 -4.5 0.0,-4.11017189675002 1.9632521704953512 0.7512117612219209,4.5 -1.7666666666665947 1.5707963267948966,8.79783509001672 1.2343793139663447 -2.694750185104029,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-31.334999999999867 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,1.5 -42.24499999999989 1.5707963267948966,1.5 -299.0 1.5707963267948966,4.5 -12.549455644444379 1.5707963267948966,4.5 -27.446130396444404 1.5707963267948966,4.5 -54.178434894222139 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,146.62500000000015 -4.5 0.0,102.18500000000015 -4.5 0.0,57.74500000000015 -4.5 0.0,4.5 291.7521636162924 1.5707963267948966,4.5 207.80016348038454 1.5707963267948966,-235.7538888888891 4.5 3.141592653589793,-158.4786666666667 4.5 3.141592653589793,-131.26837425369389 4.5 3.141592653589793,-104.11142263179623 4.5 3.141592653589793,-77.06248550136908 4.5 3.141592653589793,10.766666666666595 4.5 3.141592653589793,23.935542222222126 4.5 3.141592653589793,-4.563333333333205 -4.5 0.0,0.6845398634961415 7.650344062948469 1.1239538583091327,4.5 5.233333333333405 1.570796326794897,8.79783509001672 1.2343793139663447 -2.694750185104029,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-22.72699999999986 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,1.5 -31.134999999999878 1.5707963267948966,1.5 -296.0 1.5707963267948966,4.5 -11.114618951111027 1.5707963267948966,4.5 -23.373944745244388 1.5707963267948966,4.5 -45.47411890773327 1.5707963267948966,4.5 -86.68499999999995 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,157.73500000000014 -4.5 0.0,113.29500000000015 -4.5 0.0,68.85500000000016 -4.5 0.0,1.5 16.963133031982627 1.5707963267948966,4.5 218.91016348038455 1.5707963267948966,4.5 14.233333333333406 1.5707963267948966,-246.8638888888891 4.5 3.141592653589793,-169.5886666666667 4.5 3.141592653589793,-142.374491218883 4.5 3.141592653589793,-115.19490893561835 4.5 3.141592653589793,-88.0957977192304 4.5 3.141592653589793,10.766666666666595 4.5 3.141592653589793,21.383065777777689 4.5 3.141592653589793,-0.0944444444443171 -4.5 0.0,7.896019061292088 0.8022591335357919 -2.694750185104029,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-15.608022222222076 -4.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,1.5 -21.87666666666655 1.5707963267948966,1.5 -291.0 1.5707963267948966,4.5 -10.397200604444379 1.5707963267948966,4.5 -20.710716880497729 1.5707963267948966,4.5 -38.74603817955551 1.5707963267948966,4.5 -75.57499999999993 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,168.84500000000015 -4.5 0.0,124.40500000000015 -4.5 0.0,79.96500000000015 -4.5 0.0,1.5 27.75257747642707 1.5707963267948966,4.5 230.02016348038456 1.5707963267948966,4.5 24.788333333333406 1.5707963267948966,-257.9738888888891 4.5 3.141592653589793,-180.69866666666673 4.5 3.141592653589793,-153.4821613979965 4.5 3.141592653589793,-126.28796524196203 4.5 3.141592653589793,-99.15213946655 4.5 3.141592653589793,19.64700142222216 4.5 3.141592653589793,6.3744444444445709 -4.499999999999999 4.1895208476420999e-16,9.766666666666595 4.5 3.141592653589793,6.478099738178161 -0.0680774398252767 -2.557032915938242,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,1.5 -15.704444444444335 1.5707963267948966,1.5 -284.0 1.5707963267948966,4.5 -10.158061155555516 1.5707963267948966,4.5 -18.83098860435905 1.5707963267948966,4.5 -33.812234659669289 1.5707963267948966,4.5 -64.46499999999992 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,179.95500000000016 -4.5 0.0,135.51500000000017 -4.5 0.0,91.07500000000015 -4.5 0.0,14.843333333333458 -4.5 0.0,1.5 38.86257747642707 1.5707963267948966,4.5 241.13016348038458 1.5707963267948966,4.5 35.898333333333408 1.5707963267948966,-269.08388888888916 4.5 3.141592653589793,-191.80866666666675 4.5 3.141592653589793,-164.5907635054646 4.5 3.141592653589793,-137.38717774019853 4.5 3.141592653589793,-110.22508103798354 4.5 3.141592653589793,17.699129031111057 4.5 3.141592653589793,-7.651275555555401 -4.5 0.0,6.766666666666595 4.5 3.141592653589793,5.670538410944566 -0.656033638131946 -2.4641545895547218,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-31.134999999999878 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,1.5 -12.001111111111016 1.5707963267948966,1.5 -275.0 1.5707963267948966,4.5 -10.158061155555516 1.5707963267948966,4.5 -17.7152177057402 1.5707963267948966,4.5 -30.054605631066978 1.5707963267948966,4.5 -54.69436272848205 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,191.06500000000018 -4.5 0.0,146.62500000000015 -4.5 0.0,102.18500000000015 -4.5 0.0,25.132777777777905 -4.5 0.0,1.5 49.97257747642707 1.5707963267948966,4.5 252.24016348038459 1.5707963267948966,4.5 47.008333333333407 1.5707963267948966,-280.19388888888917 4.5 3.141592653589793,-202.91866666666679 4.5 3.141592653589793,-175.69992476994546 4.5 3.141592653589793,-148.49033246779858 4.5 3.141592653589793,-121.30976221851683 4.5 3.141592653589793,14.72614408533326 4.5 3.141592653589793,299.0 4.5 3.141592653589793,1.0140391111112557 -4.5 0.0,1.7666666666665947 4.5 3.141592653589793,5.410811380062106 -0.8649665951782016 -2.4641545895547218,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
